                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0732,                0.64343,                 1.0733,                0.61782,                0.63485,                0.56537,                0.27342,                  1.747,                 1.1556,                 1.5504,               0.003268,               0.003268,               0.003268
                     36,                 1.0747,                 0.6398,                 1.0719,                0.65225,                0.65093,                0.57076,                0.28428,                 1.7744,                 1.1639,                 1.5607,                0.00307,                0.00307,                0.00307
                     37,                 1.0456,                0.61718,                 1.0667,                0.64085,                0.60082,                0.57106,                0.29046,                 1.7522,                 1.1356,                 1.6042,               0.002872,               0.002872,               0.002872
                     38,                 1.0532,                 0.6286,                  1.056,                0.57758,                0.62942,                 0.5353,                0.26778,                 1.8096,                   1.21,                 1.6624,               0.002674,               0.002674,               0.002674
                     39,                 1.0308,                0.60796,                  1.052,                  0.604,                0.61539,                0.54245,                0.27148,                 1.7992,                 1.1693,                 1.6534,               0.002476,               0.002476,               0.002476
                     40,                 1.0159,                0.58611,                 1.0433,                0.61282,                0.67641,                 0.5728,                0.28757,                 1.7709,                 1.1525,                 1.5744,               0.002278,               0.002278,               0.002278
                     41,                 1.0042,                0.59124,                 1.0321,                0.63275,                0.62276,                0.55697,                0.27646,                 1.7968,                 1.1772,                  1.621,                0.00208,                0.00208,                0.00208
                     42,                0.99456,                0.56847,                 1.0292,                0.60624,                 0.6345,                  0.555,                0.27121,                 1.8341,                  1.234,                 1.6626,               0.001882,               0.001882,               0.001882
                     43,                0.97222,                0.56136,                 1.0237,                0.65449,                0.60264,                0.55706,                0.28097,                 1.7965,                 1.0986,                 1.6236,               0.001684,               0.001684,               0.001684
                     44,                0.97327,                0.55632,                 1.0281,                0.63617,                0.59903,                0.55767,                0.27875,                 1.7932,                 1.1759,                 1.6373,               0.001486,               0.001486,               0.001486
                     45,                0.96062,                0.55091,                 1.0186,                0.65151,                0.64555,                0.55452,                0.28268,                 1.7618,                  1.206,                 1.6077,               0.001288,               0.001288,               0.001288
                     46,                 0.9485,                0.54561,                 1.0161,                 0.5685,                 0.6335,                0.54349,                0.26761,                 1.7885,                 1.1777,                 1.6266,                0.00109,                0.00109,                0.00109
                     47,                0.94234,                0.53577,                 1.0143,                0.59855,                  0.649,                0.54762,                0.28668,                  1.755,                 1.1237,                 1.6088,               0.000892,               0.000892,               0.000892
                     48,                0.93875,                0.53094,                 1.0078,                0.61645,                0.63753,                0.54928,                0.28429,                 1.7519,                 1.1192,                 1.6176,               0.000694,               0.000694,               0.000694
                     49,                0.91614,                0.51442,                0.99941,                0.62287,                0.64701,                0.56665,                0.29433,                 1.7446,                 1.1184,                 1.6113,               0.000496,               0.000496,               0.000496
