                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.3681,                 1.0155,                 1.4561,                0.55713,                0.56202,                 0.5545,                0.26434,                 1.7957,                 1.3499,                 1.9591,              0.0027112,              0.0027112,              0.0027112
                     34,                 1.3589,                 1.0042,                 1.4431,                 0.5622,                0.59105,                0.56568,                0.26891,                 1.8276,                 1.3427,                  1.993,               0.002447,               0.002447,               0.002447
                     35,                 1.3243,                0.98741,                 1.4323,                0.58476,                0.56775,                0.55769,                0.27225,                 1.8188,                 1.3562,                 1.9839,              0.0021916,              0.0021916,              0.0021916
                     36,                 1.3384,                0.98226,                  1.431,                 0.5871,                0.59593,                0.57095,                 0.2732,                 1.8108,                 1.3118,                 1.9644,              0.0019463,              0.0019463,              0.0019463
                     37,                 1.3013,                0.95026,                 1.4252,                0.55741,                0.63746,                0.55969,                0.26952,                 1.8057,                 1.3268,                 1.9674,              0.0017119,              0.0017119,              0.0017119
                     38,                 1.3195,                0.96502,                 1.4228,                0.57925,                0.58753,                0.56391,                0.27692,                 1.7766,                 1.3403,                 1.9386,              0.0014894,              0.0014894,              0.0014894
                     39,                 1.2924,                0.93353,                 1.4029,                0.55225,                0.62276,                0.57035,                0.27388,                 1.8102,                 1.3661,                 1.9754,              0.0012797,              0.0012797,              0.0012797
                     40,                   1.28,                0.92215,                 1.3935,                0.61403,                0.61066,                0.57083,                0.27097,                 1.7925,                 1.3105,                 1.9383,              0.0010835,              0.0010835,              0.0010835
                     41,                 1.2825,                0.92303,                 1.3791,                0.62347,                0.62297,                0.59172,                0.27637,                 1.8106,                 1.3009,                 1.9604,             0.00090175,             0.00090175,             0.00090175
                     42,                 1.2787,                0.91086,                 1.3872,                0.58639,                0.61075,                 0.5616,                0.27216,                  1.815,                 1.3055,                 1.9771,             0.00073502,             0.00073502,             0.00073502
                     43,                 1.2631,                0.90227,                 1.3814,                0.61073,                0.63218,                0.58231,                0.27573,                 1.8001,                 1.3044,                 1.9622,             0.00058403,             0.00058403,             0.00058403
                     44,                 1.2481,                0.90509,                 1.3765,                0.61272,                0.61877,                0.57697,                0.27676,                 1.7973,                 1.3163,                 1.9482,             0.00044937,             0.00044937,             0.00044937
                     45,                 1.2518,                0.88905,                  1.371,                0.60872,                0.61992,                0.58633,                0.28549,                 1.7796,                 1.2725,                 1.9428,             0.00033157,             0.00033157,             0.00033157
                     46,                 1.2514,                0.90382,                 1.3797,                0.60393,                0.62182,                0.57481,                0.27885,                  1.802,                 1.3092,                 1.9446,             0.00023109,             0.00023109,             0.00023109
                     47,                 1.2293,                0.88699,                 1.3614,                0.62156,                0.61338,                0.57932,                0.28135,                 1.7876,                 1.2857,                 1.9432,             0.00014834,             0.00014834,             0.00014834
                     48,                 1.2437,                0.88923,                 1.3644,                0.62147,                0.61127,                0.57569,                0.28318,                 1.7778,                 1.2753,                 1.9363,             8.3633e-05,             8.3633e-05,             8.3633e-05
                     49,                 1.2254,                0.86764,                 1.3544,                0.62845,                0.62412,                0.58051,                0.28286,                 1.7821,                 1.2797,                 1.9395,             3.7231e-05,             3.7231e-05,             3.7231e-05
